tip_label;tip label;WJetzID;Feng;IOCOrder;PrumOrder;in_final_set;in_bioclim;region;old_set_check;English;family;order;taxogroup;PassNonPass;devo_mode;devo_mode_full;egg_mass;weight;rel_brain;brain;time_fed;clutch_size;caretakers;longevity;longevity_c;social_bonds;fam_sys;fam_sys_s;food_energy;food_h_level;fibres;foraging_3;move_max;insularity;colonial;empty_col1;longevity_c;clutch_size_c;weight_c;time_fed_c;gs_small;gs_large;grouping
Haliaeetus_leucogaster;Haliaeetus leucogaster;4630;Haliaeetus_leucogaster;Accipitriformes;Accipitriformes;YES;YES;Widespread;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;117;2830;;13.08468;140;2;2;10.41666667;;c-long;;;176.03816;2.6;1.4;aground_gen;sedentary;continental;acolonial;;;;;;;;asocial
Haliaeetus_vocifer;Haliaeetus vocifer;4633;Haliaeetus_vocifer;Accipitriformes;Accipitriformes;YES;YES;Southern Africa;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;120;2820.75;;12.62884;130;2;2;23.99999999;;c-long;;;147.4964;2.6;1.4;aground_gen;sedentary;continental;acolonial;;;;;;;;pair
Haliaeetus_albicilla;Haliaeetus albicilla;4636;Haliaeetus_albicilla;Accipitriformes;Accipitriformes;YES;YES;Western Palearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;142;4800;;19.684;121;2;2;42;;c-long;;;153.44332;2.4;1.9;aground_gen;migratory;continental;acolonial;;;;;;;;pair
Haliaeetus_leucocephalus;Haliaeetus leucocephalus;4637;Haliaeetus_leucocephalus;Accipitriformes;Accipitriformes;YES;YES;Nearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;117;4650;;18.68944;120;2;2;31.33;;c-long;;;166.52424;2.6;1.4;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Ichthyophaga_humilis;Ichthyophaga humilis;4639;Icthyophaga_humilis;Accipitriformes;Accipitriformes;NO;NO;Indomalayan;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;116.3491752;782.5;;8.9096;NA;2;2;NA;;c-long;;;107.0608;3;0.4;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Gypohierax_angolensis;Gypohierax angolensis;4641;Gypohierax_angolensis;Accipitriformes;Accipitriformes;NO;NO;Southern Africa;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;107;1536.5;;10.49468;NA;1;2;27.1;;c-long;;;85.78988;2.1;8.29;gleaning;sedentary;continental;acolonial;;;;;;;;NA
Gypaetus_barbatus;Gypaetus barbatus;4642;Gypaetus_barbatus;Accipitriformes;Accipitriformes;YES;YES;Widespread: W-PA, SAfrica;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;224;5800;;23.95014286;418;2;2;40;;c-long;;;166.53;1;5.4;aground_gen;sedentary;continental;acolonial;;;;;;;;small_groups
Neophron_percnopterus;Neophron percnopterus;4643;Neophron_percnopterus;Accipitriformes;Accipitriformes;YES;YES;Widespread: W-PA, SAfrica;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;94;1900;;11;110;2;2;17.3333;;c-long;;;168.39408;1.7;3.62;aground_gen;migratory;continental;acolonial;;;;;;;;small_groups
Necrosyrtes_monachus;Necrosyrtes monachus;4644;Necrosyrtes_monachus;Accipitriformes;Accipitriformes;YES;YES;Southern Africa;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;120;2065;;12.691;225;1;2;21;;c-long;;;167.884;1.2;4.84;aground_gen;sedentary;continental;acolonial;;;;;;;;large_groups
Gyps_africanus;Gyps africanus;4645;Gyps_africanus;Accipitriformes;Accipitriformes;YES;YES;Southern Africa;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;214;5675;;18.907;305;1;2;19.7;;c-long;;;166.53;1;5.4;aground_gen;sedentary;continental;colonial;;;;;;;;large_groups
Gyps_himalayensis;Gyps himalayensis;4652;Gyps_himalayensis;Accipitriformes;Accipitriformes;NO;NO;Palearctic;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;258;10000;;28;NA;1;2;NA;;c-long;;;166.53;1;5.4;aground_gen;sedentary;continental;colonial;;;;;;;;NA
Gyps_fulvus;Gyps fulvus;4653;Gyps_fulvus;Accipitriformes;Accipitriformes;YES;YES;Western Palearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;252;8500;;26;240;1;2;41.4;;c-long;;;166.53;1;5.4;aground_gen;migratory;continental;colonial;;;;;;;;small_groups
Gyps_coprotheres;Gyps coprotheres;4654;Gyps_coprotheres;Accipitriformes;Accipitriformes;NO;NO;Southern Africa;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;240;8985;;19;NA;1;2;21;;c-long;;;166.53;1;5.4;aground_gen;sedentary;continental;colonial;;;;;;;;large_groups
Aegypius_monachus;Aegypius monachus;4655;Aegypius_monachus;Accipitriformes;Accipitriformes;YES;YES;Western Palearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;243;9750;;27.6934;167.5;1;2;25.5;;c-long;;;166.53;1;5.4;aground_gen;migratory;continental;colonial;;;;;;;;asocial
Torgos_tracheliotos;Torgos tracheliotos;4656;Torgos_tracheliotos;Accipitriformes;Accipitriformes;YES;YES;Southern Africa;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;238.696016;7400;;28.88368;300;1;2;23;;c-long;;;170.097;1.2;4.9;aground_gen;sedentary;continental;acolonial;;;;;;;;small_groups
Trigonoceps_occipitalis;Trigonoceps occipitalis;4657;Trigonoceps_occipitalis;Accipitriformes;Accipitriformes;NO;NO;Southern Africa;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;196;4300;;23.828;NA;1;2;NA;;c-long;;;170.097;1.2;4.9;aground_gen;sedentary;continental;acolonial;;;;;;;;small_groups
Circaetus_gallicus;Circaetus gallicus;4659;Circaetus_gallicus;Accipitriformes;Accipitriformes;YES;YES;Widespread: W-PA;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;136;1600;;13.468;100;1;2;17.3;;c-long;;;202.2;3;0.4;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Circaetus_cinereus;Circaetus cinereus;4664;Circaetus_cinereus;Accipitriformes;Accipitriformes;YES;YES;Southern Africa;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;139;2002.5;;14.5;112;1;2;7;;c-long;;;202.2;3;0.4;aground_gen;migratory;continental;acolonial;;;;;;;;asocial
Circaetus_fasciolatus;Circaetus fasciolatus;4665;NA;NA;NA;NO;NO;Southern Africa;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;NA;1009;;9.5;NA;1;2;NA;;c-long;;;199.31;2.9;0.62;aground_gen;sedentary;continental;acolonial;;;;;;;;asocial
Terathopius_ecaudatus;Terathopius ecaudatus;4667;Terathopius_ecaudatus;Accipitriformes;Accipitriformes;YES;YES;Southern Africa;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;168;2385;;15.21884;233;1;2.2;27;;c-long;;;182.66208;2.5;1.62;aground_gen;sedentary;continental;acolonial;;;;;;;;small_groups
Spilornis_cheela;Spilornis cheela;4669;Spilornis_cheela;Accipitriformes;Accipitriformes;NO;NO;Indomalayan;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;95;1110;;8;NA;1;2;NA;;c-long;;;189.79608;2.9;0.62;aground_gen;sedentary;continental;acolonial;;;;;;;;NA
Circus_aeruginosus;Circus aeruginosus;4685;Circus_aeruginosus;Accipitriformes;Accipitriformes;YES;YES;Western Palearctic;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;40;603;;5.766530909;57.5;4;2;20.1;;c-long;;;189.79608;2.9;0.62;aground_gen;migratory;insular;colonial;;;;;;;;asocial
Circus_cyaneus;Circus cyaneus;4696;Circus_cyaneus;Accipitriformes;Accipitriformes;YES;YES;Widespread: W-PA;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;31;440;;4.95208;57;4;2;17.1;;c-long;;;195.743;2.7;1.12;aground_gen;migratory;continental;colonial;;;;;;;;asocial
Polyboroides_typus;Polyboroides typus;4703;Polyboroides_typus;Accipitriformes;Accipitriformes;NO;YES;Southern Africa;;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;58.5;752.5;;8.288;60;2;2;NA;;c-long;;;167.42;2.6;2.72;gleaning;migratory;continental;acolonial;;;;;;;;small_groups
Kaupifalco_monogrammicus;Kaupifalco monogrammicus;4705;Kaupifalco_monogrammicus;Accipitriformes;Accipitriformes;YES;YES;Southern Africa;altrical;;Accipitridae;ACCIPITRIFORMES;Accipitiformes;NONPASSERIFORMES;altrical;semi-altricial;32;329.5;;4.17508;90;2;2;8.6;;c-long;;;184.86;2.4;1.72;aground_gen;sedentary;continental;acolonial;;;;;;;;asocial
